epochs,trial_num,accuracy,loss,val_accuracy,val_loss,test_accuracy,test_precision,test_recall
7,23,0.801789449214935,0.693122684955596,0.466666668653488,0.693240344524383,0.466666668653488,0,0
7,24,1,0.00204272218979895,1,0.000559364503715187,1,1,1
7,25,1,0.0302881747484207,1,0.00541037181392312,1,1,1
7,26,0.505263149738311,0.69314295053482,0.433333337306976,0.694299101829528,0.533333361148834,0.533333361148834,1
7,27,0.947368443012237,0.394483655691146,0.933333337306976,0.432994842529296,0.933333337306976,1,0.899999976158142
7,29,0.906315808296203,0.692776381969451,0.466666668653488,0.693847298622131,0.466666668653488,0.466666668653488,1
7,30,1,0.000693993526510894,1,0.00341901183128356,1,1,1
10,1,0.515789449214935,0.69303959608078,0.600000023841857,0.692316114902496,0.400000005960464,0,0
10,2,0.494736850261688,0.693177223205566,0.433333337306976,0.693353831768035,0.533333361148834,0,0
10,3,1,0.00160357099957764,1,0.000760935596190393,1,1,1
10,4,1,0.000205479911528527,0.966666638851165,0.195427179336547,1,1,1
10,5,1,0.00313022662885487,1,0.000194297972484491,1,1,1
10,6,0.989473700523376,0.0138034215196967,1,0.000953092414420098,1,1,1
10,7,1,0.000236491687246598,1,0.000218729284824803,1,1,1
10,8,1,0.000294313533231616,1,0.0000571820783079601,1,1,1
10,9,0.526315808296203,0.692737758159637,0.400000005960464,0.695371091365814,0.266666680574417,0.266666680574417,1
10,10,1,0.00220750179141759,1,0.000373284448869526,1,1,1
20,1,1,0.279836595058441,1,0.220126822590827,1,1,1
20,2,1,0.000012883298950328,1,0.000031752493669046,1,1,1
20,3,1,0.00000927780820347834,1,0.000010095819561684,1,1,1
20,4,1,0.279836595058441,1,0.220126822590827,1,1,1
